Feature,Importance
numerical__Age,0.2857928904605036
numerical__Albumin,0.23162570401437466
onehot__Sex_F,0.1609909659783478
numerical__Tryglicerides,0.13931990054402693
onehot__Drug_Placebo,0.09362562951429722
onehot__Hepatomegaly_N,0.06372186652192335
numerical__Alk_Phos,0.06132444749418853
onehot__Ascites_N,0.035398016079540254
onehot__Spiders_N,0.000590430969588947
onehot__Spiders_Y,-0.000590430969588705
onehot__Ascites_Y,-0.03539801607954004
onehot__Hepatomegaly_Y,-0.06372186652192335
onehot__Drug_D-penicillamine,-0.09362562951429722
numerical__Prothrombin,-0.15039065780550956
onehot__Sex_M,-0.1609909659783478
numerical__Platelets,-0.1956695701865374
ordinal__Edema,-0.19597085727765462
numerical__Cholesterol,-0.22646118364682058
numerical__Copper,-0.2736373922753239
numerical__SGOT,-0.33154177060833856
numerical__Bilirubin,-0.38465660885861286
ordinal__Stage,-0.3987335344036203
