Feature,Importance
numerical__Bilirubin,0.19569448824088195
numerical__Copper,0.10366061319864081
numerical__Prothrombin,0.09523663811533173
numerical__SGOT,0.08555765542203582
numerical__Age,0.07862180112467242
numerical__Cholesterol,0.0720118699083996
numerical__Platelets,0.07167392171566667
numerical__Alk_Phos,0.06731564495642121
numerical__Tryglicerides,0.06332946518897781
numerical__Albumin,0.053200865926004946
bin__Ascites,0.02371851475023428
bin__Sex,0.023665884958774388
bin__Hepatomegaly,0.018823953392459413
bin__Drug,0.015105495539463606
ordinal__Stage,0.014668585477609696
bin__Spiders,0.009231111090204885
ordinal__Edema,0.008483490994220796
