Feature,Importance
numerical__Bilirubin,0.15999029629109537
numerical__Copper,0.1489753258305739
numerical__Prothrombin,0.09101396466593668
numerical__Age,0.08361787454379571
numerical__Alk_Phos,0.0825265317534299
numerical__Cholesterol,0.07217899058651125
numerical__SGOT,0.0705398367635074
numerical__Tryglicerides,0.06602715380689916
numerical__Albumin,0.06476945963247492
numerical__Platelets,0.061273790975466924
ordinal__Stage,0.02920302118748725
bin__Sex,0.016442026983855444
bin__Ascites,0.014394036490388557
bin__Hepatomegaly,0.012412817300904062
ordinal__Edema,0.01210706256199141
bin__Drug,0.008072328093492002
bin__Spiders,0.006455482532190032
