Feature,Weight
bin__Sex,0.14378404523348912
numerical__Age,0.11927931437443474
bin__Spiders,0.11733225161987207
numerical__Alk_Phos,0.0015026501922344726
numerical__Albumin,-0.02927284417014278
numerical__Tryglicerides,-0.07475987782587984
numerical__Prothrombin,-0.1091608343127479
ordinal__Edema,-0.12988367358094668
bin__Drug,-0.16081272665565916
numerical__Platelets,-0.17607958330127588
ordinal__Stage,-0.1813552642035973
numerical__Bilirubin,-0.22532256631753939
numerical__Cholesterol,-0.24551585142666763
numerical__SGOT,-0.2603362610746353
bin__Ascites,-0.32037961871027276
bin__Hepatomegaly,-0.3371352700839764
numerical__Copper,-0.4220995726430009
