Feature,Importance
numerical__Age,0.17897149582010338
numerical__Albumin,0.17852785261282975
bin__Ascites,0.13537967687306832
bin__Sex,0.10760566283382894
bin__Spiders,0.05245290020226267
numerical__Alk_Phos,0.008346444172197959
numerical__SGOT,-0.04829447753772481
numerical__Tryglicerides,-0.09508063060776975
bin__Drug,-0.14533476822487618
numerical__Cholesterol,-0.1495718635696173
numerical__Platelets,-0.16947101141731255
numerical__Copper,-0.18588557600428682
bin__Hepatomegaly,-0.18723399248944134
numerical__Prothrombin,-0.19625617507139845
ordinal__Edema,-0.20173497881371688
ordinal__Stage,-0.28802573124345604
numerical__Bilirubin,-0.3521601073315162
