Feature,Importance
numerical__Age,0.15507516543985056
numerical__Bilirubin,0.1364172001424257
numerical__Prothrombin,0.10608963816685019
numerical__Copper,0.09036080019111874
numerical__SGOT,0.08631783925417838
numerical__Platelets,0.06470580094124274
numerical__Cholesterol,0.05992635518678121
numerical__Alk_Phos,0.057258782012599485
numerical__Albumin,0.05282198711322367
bin__Hepatomegaly,0.04267352960839049
numerical__Tryglicerides,0.03684191540384542
ordinal__Stage,0.03284680164186186
bin__Drug,0.01844797760542366
ordinal__Edema,0.01753579922885812
bin__Sex,0.015935552909261064
bin__Ascites,0.013725746058450658
bin__Spiders,0.013019109095638153
