Feature,Importance
bin__Sex,0.3098978274859755
numerical__Age,0.27749858507945324
numerical__Albumin,0.22400370480115064
numerical__Tryglicerides,0.140922745004
numerical__Alk_Phos,0.06094302558060333
bin__Spiders,-0.0012821985301535396
bin__Ascites,-0.11465738448445266
bin__Hepatomegaly,-0.12547436697608144
numerical__Prothrombin,-0.15271532503525315
bin__Drug,-0.18110688926699334
ordinal__Edema,-0.1881452027382446
numerical__Platelets,-0.1945980142898182
numerical__Cholesterol,-0.22012920985110307
numerical__Copper,-0.2790502239857149
numerical__SGOT,-0.3306686978888491
numerical__Bilirubin,-0.38718724872706584
ordinal__Stage,-0.397015979418533
