Feature,Weight
bin__Sex,0.3025747751684887
numerical__Age,0.2903973767559587
numerical__Albumin,0.2202115617390064
numerical__Tryglicerides,0.14994738456453277
numerical__Alk_Phos,0.03637341428103544
bin__Spiders,0.010942666496676877
bin__Hepatomegaly,-0.12063324703606461
numerical__Prothrombin,-0.16647304382174893
bin__Ascites,-0.17295938164038327
numerical__Platelets,-0.18294186261492548
bin__Drug,-0.19154846752680327
ordinal__Edema,-0.19585904786947758
numerical__Cholesterol,-0.198318906332215
numerical__Copper,-0.2731398388007194
numerical__SGOT,-0.32220835813283905
ordinal__Stage,-0.4035812752598052
numerical__Bilirubin,-0.4608058891142615
