Feature,Importance
numerical__Age,0.27694580180694106
numerical__Albumin,0.21157358456511194
numerical__Tryglicerides,0.17301509614532817
onehot__Sex_F,0.16275708932083555
onehot__Drug_Placebo,0.08566733028371261
onehot__Hepatomegaly_N,0.06621391573448425
numerical__Alk_Phos,0.05509956392636931
onehot__Ascites_N,0.03849667225761403
onehot__Spiders_N,0.004975372823282657
onehot__Spiders_Y,-0.004975372823282679
onehot__Ascites_Y,-0.038496672257613815
onehot__Hepatomegaly_Y,-0.06621391573448425
onehot__Drug_D-penicillamine,-0.08566733028371261
numerical__Prothrombin,-0.1462564210874673
onehot__Sex_M,-0.16275708932083555
numerical__Platelets,-0.19185087795743344
ordinal__Edema,-0.1966885895346612
numerical__Cholesterol,-0.2691732694039123
numerical__Copper,-0.27699932871420424
numerical__SGOT,-0.33102518113184626
numerical__Bilirubin,-0.36086072528033863
ordinal__Stage,-0.3913473866195669
