Feature,Importance
numerical__Bilirubin,0.17126707716425305
numerical__Copper,0.12251553376479538
numerical__Prothrombin,0.10333042700261319
numerical__Albumin,0.0714180205081895
numerical__SGOT,0.06996414820510839
numerical__Age,0.06875970470002415
numerical__Cholesterol,0.06813807859171271
numerical__Alk_Phos,0.05499405036197228
numerical__Platelets,0.054515910180222914
numerical__Tryglicerides,0.05193797743837569
ordinal__Stage,0.027142149584190197
onehot__Ascites_Y,0.019606394032709275
onehot__Hepatomegaly_N,0.017047082980613124
onehot__Ascites_N,0.01650505430611132
onehot__Sex_F,0.016164789554462405
onehot__Hepatomegaly_Y,0.014839999084068063
ordinal__Edema,0.010054379652536919
onehot__Drug_Placebo,0.009134431424982695
onehot__Drug_D-penicillamine,0.008571196727800748
onehot__Spiders_Y,0.008453558930422484
onehot__Spiders_N,0.007935594769442316
onehot__Sex_M,0.007704441035393405
