Feature,Weight
bin__Sex,0.30542048865704435
numerical__Age,0.28599872157060185
numerical__Albumin,0.20346181906672092
numerical__Tryglicerides,0.17921642094015308
numerical__Alk_Phos,0.0317053000393827
bin__Spiders,0.005249753589347216
bin__Hepatomegaly,-0.12210780872570036
numerical__Prothrombin,-0.1664692965765954
bin__Ascites,-0.17347296067447512
numerical__Platelets,-0.17846901246925864
bin__Drug,-0.18123568912536733
ordinal__Edema,-0.20179361076308505
numerical__Cholesterol,-0.24545712502298347
numerical__Copper,-0.27634583492557796
numerical__SGOT,-0.31844439107119843
ordinal__Stage,-0.3981335406771903
numerical__Bilirubin,-0.43334327591232386
