Feature,Importance
numerical__Bilirubin,0.22068491500458665
numerical__Copper,0.1426150064995216
numerical__Prothrombin,0.09891573826147947
numerical__Alk_Phos,0.0767535201349338
numerical__Age,0.07671010322639786
numerical__SGOT,0.06337049465499203
numerical__Tryglicerides,0.06280406653813804
numerical__Albumin,0.05300815219926021
numerical__Cholesterol,0.04929076278842846
numerical__Platelets,0.04870647810015643
bin__Sex,0.02708785451572005
ordinal__Stage,0.026827730638478195
ordinal__Edema,0.01596583854280779
bin__Ascites,0.013212374054885232
bin__Hepatomegaly,0.01203226450256016
bin__Drug,0.0061599453547445315
bin__Spiders,0.005854754982909505
