Feature,Importance
bin__Sex,0.31467768528070045
numerical__Age,0.27310463759178455
numerical__Albumin,0.20719857572174383
numerical__Tryglicerides,0.17024709685903433
numerical__Alk_Phos,0.056911127980383155
bin__Spiders,-0.008263495379688271
bin__Ascites,-0.11461772454162995
bin__Hepatomegaly,-0.12966137735460623
numerical__Prothrombin,-0.14912031534721695
bin__Drug,-0.16646578104479134
numerical__Platelets,-0.18986342880957427
ordinal__Edema,-0.19160456565634104
numerical__Cholesterol,-0.2708083709396991
numerical__Copper,-0.28034206200335315
numerical__SGOT,-0.3319630149107842
numerical__Bilirubin,-0.35649220288442374
ordinal__Stage,-0.39048439283514047
