Feature,Importance
bin__Sex,0.31147354936163657
numerical__Age,0.28185985439727057
numerical__Albumin,0.2270330625422428
numerical__Tryglicerides,0.13697527409662152
numerical__Alk_Phos,0.06283336164653132
bin__Spiders,-7.32764300257626e-05
bin__Ascites,-0.10964287801895442
bin__Hepatomegaly,-0.12463903293582189
numerical__Prothrombin,-0.15280738534349975
bin__Drug,-0.1816206236369023
ordinal__Edema,-0.19001263719832348
numerical__Platelets,-0.1936773666350887
numerical__Cholesterol,-0.22805627518693275
numerical__Copper,-0.276910497121693
numerical__SGOT,-0.33281316975860636
numerical__Bilirubin,-0.38023091697090355
ordinal__Stage,-0.39777488628577334
