Feature,Importance
numerical__Bilirubin,0.1779062168906362
numerical__Copper,0.11370480421097504
numerical__Prothrombin,0.11246619957746921
numerical__Albumin,0.08855970064833543
numerical__SGOT,0.08456792845086496
numerical__Alk_Phos,0.07166643923409223
numerical__Age,0.06783544751079224
numerical__Cholesterol,0.06247945366750783
numerical__Platelets,0.05601519007292565
numerical__Tryglicerides,0.04992929646210235
bin__Sex,0.02319329024827971
ordinal__Edema,0.02082077968056433
ordinal__Stage,0.020090965561466324
bin__Hepatomegaly,0.018429354054278334
bin__Ascites,0.015866506189597188
bin__Spiders,0.008494227745834464
bin__Drug,0.007974199794278545
