Feature,Importance
numerical__Prothrombin,0.040428269920128025
numerical__Albumin,0.035459828422063536
onehot__Sex_F,0.01802827973314601
onehot__Ascites_N,0.015549282368150603
onehot__Hepatomegaly_N,0.014140432388317097
onehot__Spiders_N,0.009673933145667632
onehot__Drug_D-penicillamine,0.0048312111313261585
numerical__Platelets,0.0035792460887659723
onehot__Drug_Placebo,0.003018386056358998
numerical__Tryglicerides,0.000828606795534814
numerical__Alk_Phos,0.00014311195428596413
numerical__Cholesterol,7.503324022570772e-05
onehot__Spiders_nan,0.0
onehot__Drug_nan,0.0
onehot__Hepatomegaly_nan,0.0
onehot__Ascites_nan,0.0
onehot__Spiders_Y,-0.001824335957982722
numerical__Copper,-0.003214786822412246
numerical__Age,-0.003372193337476572
numerical__SGOT,-0.004497276080047272
onehot__Hepatomegaly_Y,-0.0062908352006319675
onehot__Ascites_Y,-0.00769968518046584
onehot__Sex_M,-0.01017868254546079
ordinal__Stage,-0.018982491149754543
ordinal__Edema,-0.020037604808070937
numerical__Bilirubin,-0.07135159749798414
